stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,9.37,0,1.34,1.34,0,0,0,0,0,0,0,2.68,1.34,0,0,1.34,0,0,0,0,0,1.34,0,0
3Month,21.12,0,0.96,0,0.32,0.32,0,1.6,0.64,0.32,0.32,1.28,1.28,0.32,0,0,0,0.32,0.32,0.32,0,0,11.84,0.32
22Month,27.88,0.55,1.09,0,0,1.09,14.76,14.21,1.09,0.55,1.09,1.09,0,0,1.09,0,0.55,0,0,0.55,0.55,0,3.28,1.09
