stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Immune_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,16.35,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,54.56,6.42,3.21,1.07
21Day,4.02,1.34,0,0,0,0,1.34,34.8,1.34,0,0
22Month,0,0,0,0,0.55,0.55,0,0,0,0,0
