stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,12.26,0,0
72hpf,0,0,10.7,1.07,1.07,0
21Day,0,1.34,0,0,0,0
3Month,0.32,0,0,0,0,0.32
