stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,3.21,3.21,0,0,0,0,2.14,1.07,0,0,23.54,0,0,0,0,0
21Day,1.34,4.02,0,0,0,0,2.68,0,0,2.68,0,25.43,1.34,1.34,1.34,0,0
3Month,0,0,0,0.32,0.32,0.64,0,0,0,0,0.32,0,0,0,0,1.28,0.32
