stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,1.07,0,0,0,0,0,0,3.21,0,1.07,0,148.7,5.35,0,1.07,0,0,1.07,0,3.21,0,0
21Day,0,0,16.06,1.34,0,1.34,1.34,1.34,0,0,8.03,0,6.69,0,81.65,2.68,1.34,0,1.34,0,0,1.34,1.34,0,0
3Month,0,0,5.12,0,0,0.32,1.28,0,0.96,2.88,0.32,0.96,0.96,0.32,3.2,0,2.88,0,0.64,2.24,0,0,0.96,0.32,0.32
22Month,0,0.55,7.11,0,1.09,1.64,14.21,1.09,1.64,0.55,1.09,1.09,0.55,0,4.37,0,7.11,0.55,0,12.03,0.55,0.55,0,0,1.09
