stage,Epithelial_cell,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,4.09,4.09,0,0,4.09,8.17,0,0,0
72hpf,0,0,0,0,1.07,0,0,14.98,5.35,0,0,0
21Day,0,0,1.34,0,0,0,0,1.34,0,2.68,0,1.34
3Month,0.64,0.32,0,0.32,0,0.32,0.32,0,0,0,0.32,0
