stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,4.28,0,2.14,0,0,1.07,1.07,0,0,1.07,0,0,0
21Day,0,5.35,1.34,0,0,0,0,0,0,1.34,0,0,2.68,0,1.34,0,0,0,1.34,0,0,2.68,0,0,0
3Month,0.32,7.04,0,0.32,0.64,0.32,0,4.16,0.32,0,4.8,0.32,2.24,0.64,1.6,0.64,0.32,0.32,0,0.96,0.64,0.32,1.6,0.32,1.6
22Month,0,0,0,0,0.55,0,0.55,2.73,0.55,0,1.64,0,0,2.19,1.64,0,0,0,0,0,0,0,1.09,0,0
