stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,8.17,4.09,8.17,0,0,4.09,57.21,0,0,0,0,0,0,0
72hpf,1.07,2.14,5.35,0,1.07,0,0,0,0,0,0,0,0,7.49,13.91,0,7.49,0,0,8.56,19.26,0,2.14,0,0,0,0,0
21Day,2.68,0,20.08,1.34,1.34,0,0,0,0,0,0,1.34,0,1.34,6.69,6.69,10.71,0,1.34,6.69,12.05,0,6.69,1.34,0,0,0,0
3Month,0,0,17.28,0,0,0,0.32,3.2,0,5.44,3.52,0,2.88,0.64,2.56,4.48,2.24,0.32,0.96,0.32,0.32,0.64,0,0.64,12.8,0.64,10.24,0.32
22Month,0,0,3.28,0,0,0.55,0.55,0.55,1.09,10.93,4.92,0.55,1.09,0,2.19,6.01,1.09,0,0,0,0.55,0,0,0,0,0,0,0
