stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,3.21,1.07,1.07,0,0,41.72,0,0,0
21Day,1.34,0,1.34,0,0,1.34,0,0,0,1.34,0,1.34,1.34,0,0,0,0,1.34,16.06,0,0,0
3Month,0,0,0,0.64,0,0,0,0.32,3.2,0,1.6,0,0.32,0.32,0,0,0.32,1.92,0.96,0.96,11.2,0
22Month,0,0.55,0,0,0,0,0.55,2.19,9.29,0,0.55,1.64,2.19,0,0,0.55,0,2.19,0,0,0,0.55
