stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,26.74,2.14,0
21Day,1.34,0,1.34,0,0,0,0,25.43,0,0
3Month,0,0,0,0,0,0,0.32,0,0,0.32
22Month,0,0.55,0,0.55,0.55,1.64,0,0,0,0
