stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,7.49,0,0,0,0,93.07,11.77,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,2.68,2.68,2.68,0,0,0,0,0,1.34,0,1.34,0,2.68,0,9.37,0,0,2.68,0,338.65,5.35,0,2.68,0,2.68,46.85,0,1.34,1.34,0,0,0,0
3Month,0.32,1.28,4.16,0,0,0.32,0.32,0.96,0.32,0,31.04,1.28,0.32,2.56,1.92,2.88,1.92,0.64,0,1.28,8.64,0.96,0,0,0,0,0.96,0.32,23.04,0.32,0,0,0.64,5.44,1.6
22Month,0,0,1.09,0,0,0,0,1.09,1.64,274.97,27.88,1.09,0,6.01,0,3.28,3.83,0.55,1.64,1.64,4.37,2.73,0,0.55,1.09,1.09,0,0,16.95,0,0,1.09,0,0,0.55
