stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,24.52,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,1.07,0,0,8.56,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,4.02,0,2.68,1.34,0,0,14.72,0,0,4.02,1.34,1.34,0,2.68,0,0,1.34,0,5.35,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0,0.64,0.32,4.16,0,0,0,1.6,0.64,89.59,0.64,0.32,20.8,0,0.96,0.64,1.92,0.64,0,0.64,1.6,0.32,0,0.32,0,1.28,4.48,0,0,0.32,3.84,1.28
22Month,0,0,0.55,1.09,0,0,0,0,0.55,34.99,1.64,0,14.21,0.55,0,0.55,2.73,0,1.09,0,0,0,0,0.55,0.55,0,1.09,0.55,0,0,0,0
