stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,20.43,0,0,0,0,0,0,0,40.86,0,0
72hpf,1.07,0,0,0,4.28,0,0,0,0,0,0,0,0,1.07,3.21,1.07,2.14,0,1.07,1.07,166.89,14.98,0,7.49,0,0,1.07,0,0,323.08,0,0
21Day,5.35,1.34,0,22.76,28.11,0,1.34,2.68,0,1.34,0,10.71,6.69,1.34,12.05,4.02,26.77,0,0,1.34,645.17,13.39,0,10.71,13.39,0,2.68,2.68,4.02,305.19,0,5.35
3Month,0.32,0.96,0.64,4.8,0,0.32,1.6,0.64,0,6.72,2.56,0.32,4.48,0,2.88,5.44,0,0.32,0,0,9.92,0,0,0,0.32,24.64,0.32,0,0,6.72,19.52,1.28
22Month,0,1.09,0,7.65,0,0.55,1.64,9.84,0.55,47.56,2.73,0.55,2.73,0,2.19,16.95,3.28,1.64,1.64,2.19,31.16,0,0.55,1.09,0,1.64,3.83,0.55,0,0,0,2.19
