stage,Epithelial_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
72hpf,1.07,0,0,0,0,3.21,0,1.07
21Day,1.34,1.34,4.02,1.34,1.34,2.68,1.34,0
