stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,1.34,0
3Month,0.96,0.64,5.76,0.32,0.32,0.32,0.96,7.68,0,1.92,0.64,0.96,0.96,0.32,1.28,0.32,0.32,0.32,2.56,306.51
22Month,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0
