stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,0,1.34,4.02,0,0
3Month,0.64,1.92,0.32,0,1.28,0.32,0.32,0.64,0.32,0.32,0.32,0.32,0.32,0.32,28.8,0,0,0.64,1.6
22Month,0,0.55,0,0.55,4.92,0,0.55,0,0,0,0,0,0,0,3.28,0,0,0,0
