stage,Epithelial_cell,Goblet_cell,Granulocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Muscle_cell,Neural_cell,Pancreatic_cell
21Day,1.34,0,0,0,0,0,0,1.34,0
3Month,2.56,4.16,0.32,0.32,1.28,0.32,8,0,0.32
22Month,0,0,0,0,0,0,2.19,0,0
