stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0
3Month,0.32,0.96,0,1.28,0.32,0,0.64,0.32,1.92,5.12,11.52,0.64
22Month,0,0,0.55,2.19,0,0.55,0,0,0,0,0,0.55
