stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell
24hpf,12.26,40.86,4.09,0,4.09,16.35,8.17,28.6,4.09,110.33,0,0,0
72hpf,1.07,1.07,0,0,0,27.81,0,1.07,4.28,2.14,1.07,0,2.14
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34
22Month,0,0.55,0,1.64,0,0,0,0,0,0,0,13.67,0
