stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,14.72,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0.32,0.32,1.92,0,1.6,1.28,2.24,0.64,2.56,0,0.64,0,0.64,1.6,0,0.32,0.32
22Month,1.09,0,3.28,0,0,1.09,18.04,0,9.84,0.55,0.55,0.55,0.55,2.73,0.55,0,0.55
