stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,20.43,0,12.26,24.52,0,0,0,4.09,32.69,281.96,0,0,16.35,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,11.77,1.07,0,0,0,0,0,0,0,0,2.14,6.42,1.07,8.56,0,0,0,0,94.14,31.02,1.07,0,22.47,0,0,0,23.54,0,2.14,0,0,0
21Day,2.68,0,0,10.71,12.05,1.34,0,0,0,0,0,0,1.34,0,0,10.71,0,34.8,0,0,6.69,0,36.14,10.71,0,1.34,16.06,2.68,0,1.34,8.03,1.34,0,0,0,1.34
3Month,0,0.64,0.96,22.08,0,0,0.64,1.28,1.28,0,31.67,1.28,0.32,1.28,1.6,5.12,2.56,4.16,0.96,0.32,0.96,0.96,2.24,0.96,0.64,0.96,0,1.28,0.32,9.28,0.64,0,0.32,1.28,85.75,2.24
22Month,0,2.19,1.64,12.57,0,0,0,2.19,3.28,1.09,75.98,0.55,1.09,9.84,0.55,1.64,1.64,7.11,0,2.19,0.55,0.55,0.55,1.09,1.64,1.64,0,2.19,0,2.19,1.09,0,0,0,0.55,1.64
