stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,44.95,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,3.21,3.21,0,4.28,0,0,0,1.07,0,0,0
21Day,1.34,1.34,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,4.02,0,0,0,2.68,0,0,0,0,0
3Month,0,0.32,0.32,3.2,0,0.64,0,0.32,1.28,0,23.36,2.24,0.64,4.8,1.28,1.28,0.64,3.2,3.84,0.32,0.32,0.96,0,0,0,0,14.72,39.35,0,0.32,0.32,0.96,0.64
22Month,0,1.09,0.55,3.83,0,0,0.55,0,0,2.19,93.48,0.55,1.64,2.73,0,0,3.83,1.64,0,2.19,0,0.55,0,0,1.64,0,14.21,27.33,0.55,0,0,0,0
