stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,4.09,0,4.09,0,0
72hpf,0,0,0,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,1.34
3Month,0,0,0.32,0,0,0,0.32,0
22Month,0.55,1.09,0,0,0,0,0,0
