stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,134.79,4.28,1.07,0,1.07,0,0,2.14,0,0,0
21Day,2.68,0,0,1.34,1.34,0,0,0,0,0,0,0,0,1.34,0,2.68,0,2.68,0,0,69.6,1.34,0,1.34,4.02,4.02,0,0,0,0,0
3Month,0,0.32,1.92,0,0,0,0,0.32,0,0,5.12,0,0.32,1.6,0.32,0.64,0.64,1.28,0.96,0,0.96,0,2.56,0,0.32,0.32,1.92,0,0,22.4,0.64
22Month,0,1.64,3.28,0,0,0.55,0.55,0.55,3.28,2.19,87.46,1.64,1.09,6.01,0,0,3.83,7.11,0,2.19,2.73,0,0.55,0,0,0,3.83,0.55,0.55,0,1.09
