stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,0,8.17,32.69,12.26,4.09,0,0,0,0,8.17,8.17,0,0,0,0,0,0,0
72hpf,0,4.28,0,0,0,0,0,0,0,0,0,3.21,39.58,1.07,5.35,0,0,0,0,4.28,1.07,0,2.14,0,0,0,0,0
21Day,0,70.94,1.34,1.34,1.34,0,1.34,0,0,6.69,0,9.37,40.16,1.34,16.06,0,0,1.34,0,4.02,1.34,0,4.02,0,0,0,0,0
3Month,0.32,24.32,0,0,0.64,0.64,0,3.2,0,0.96,0.96,1.92,15.04,2.24,2.56,0.64,0,1.28,3.2,0.32,0,0.32,0,0.64,4.8,1.6,1.92,1.92
22Month,1.64,4.37,0,0,0,2.19,0.55,7.11,1.09,0,1.09,1.09,1.09,0,2.19,0,0.55,0,0,0,0,0,0,0,1.64,0,0,1.09
