stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,28.6,0,0,0,0,0,0,0,0,0,0,0,4.09,106.25,0,0,0,0,0,93.99,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,1.07,0,0,16.05,13.91,1.07,0,0,0,6.42,6.42,0,0,0,0,0,1.07,0,0,0
21Day,2.68,0,0,8.03,1.34,2.68,0,1.34,0,0,1.34,1.34,1.34,2.68,0,5.35,2.68,4.02,0,0,1.34,2.68,5.35,0,4.02,4.02,0,2.68,1.34,0,0,0
3Month,0.32,0,0.64,6.08,0,0,0.32,0.32,1.92,1.6,17.92,7.04,0.32,5.12,0.64,2.88,6.08,3.52,0.64,0.64,0.64,0.32,0.32,0.64,0,0.64,0.32,24,0,0.32,0.96,6.08
22Month,0,0.55,0,1.09,0,0,0,0,0,0,9.29,0.55,0.55,0.55,0,0,1.64,1.09,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,1.64
