stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,1.07,0,2.14,0,0,2.14,0,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,1.34,0,1.34,0,0,0,0,0,0,0,1.34
3Month,0,1.28,0.64,9.6,0.32,1.28,0.96,0,63.99,6.4,0,5.76,2.24,0.96,0.64,1.92,0.32,0,3.84,4.8,0,0.64,0.32,0,0.64,3.84,2.88,20.16,1.92
22Month,0,2.19,0,12.03,0,1.64,1.64,1.64,76.53,2.73,1.09,10.93,0,0.55,1.64,6.56,0,3.28,1.09,0.55,0,1.09,0,0,0.55,0.55,1.64,0,3.83
