stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Muscle_cell,Pancreatic_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,1.34,5.35
3Month,0,0,0.32,0,0,0.96,0,0.32,0.32,0,0.96
22Month,0.55,0.55,0,0.55,0.55,1.09,0.55,2.73,0,0,2.19
