stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,4.09,4.09,0,0,0
72hpf,1.07,0,0,0,3.21,4.28,13.91,1.07,2.14,1.07,1.07
21Day,0,1.34,0,0,0,0,14.72,1.34,0,0,2.68
3Month,0,0,0.96,0.32,0,0,0.32,0,0,0,0
22Month,0,0.55,0.55,1.64,0,0,0,0,0.55,0,0
