stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,16.35,0,4.09,0,0,0,0,0,4.09,0
72hpf,1.07,0,2.14,1.07,1.07,0,0,0,0,0,3.21,6.42,1.07,6.42,0,0,111.26,1.07,2.14,31.02,0,0,1.07,0,0,0,0
21Day,2.68,1.34,1.34,0,4.02,0,0,0,1.34,0,0,1.34,0,18.74,2.68,0,88.34,9.37,0,30.79,8.03,0,2.68,1.34,1.34,0,0
3Month,0,0,0.96,0,0,0,1.6,0.32,0,0.64,0,0.64,0,0.64,0.32,0.64,0.32,0,0,0,0.32,0.32,0,0,0,0,0
22Month,0,0,0,0,0,0.55,9.29,0.55,0,1.09,0,0.55,0.55,0,0,0,0,0,0.55,0,0.55,0.55,0.55,0,0,0,0.55
