stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,5.35,0,0,397.96,1.07,0,0,0,0,0,0,110.19,46,0,0,0
21Day,1.34,1.34,2.68,0,1.34,0,0,5.35,0,0,0,0,1.34,1.34,6.69,0,2.68,46.85,1.34,0,1.34,0,2.68,2.68,0,101.73,167.32,2.68,0,2.68
3Month,0,2.88,0,0,0,0.32,0.32,3.2,1.28,0,1.28,0.64,0,0,0,0,0,0.64,0,0.32,0,0,0,0,0.64,7.68,2.24,1.92,0.32,0.96
22Month,0,6.01,0,0.55,0.55,0,1.64,9.84,2.73,0.55,0,0,0,1.09,2.19,1.09,0,0.55,0.55,0.55,0.55,0.55,0.55,0,0,186.41,0.55,2.73,0,1.64
