stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,53.49,6.42,5.35,0,0,1.07,0,0,0
21Day,0,0,0,8.03,2.68,0,0,0,0,0,0,0,0,0,0,1.34,4.02,0,0,0,4.02,0,37.48,4.02,5.35,1.34,2.68,0,0,0,0
3Month,0.32,0.96,0.32,2.88,0,0.32,0.32,0.96,1.92,0,0,12.8,0.32,3.52,0.64,0.96,1.28,1.28,0.32,0,0.32,0.64,1.6,0,5.12,0,1.92,0.32,0.32,1.92,0
22Month,0,0,0,1.09,0,0,0,0.55,0.55,0.55,0,33.89,1.09,1.09,0,0,2.19,1.09,0,1.09,0,0,0,0.55,6.01,1.09,1.09,1.09,0,0,1.09
