stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell
24hpf,4.09,0,4.09,4.09,0,4.09,0,0,0,4.09,0,8.17
21Day,1.34,5.35,0,0,0,0,0,0,1.34,1.34,0,0
22Month,0,0.55,0,0,1.09,0,4.37,0.55,0.55,0.55,0.55,0
