stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,4.09,0,8.17,0,0,0,8.17,0,0,0,0,0,12.26,4.09,0,0,0,0,8.17,155.28,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,5.35,2.14,0,1.07,0,0,0,0,4.28,43.86,0,0,0,0,3.21,0,1.07,0,0,0
21Day,9.37,0,1.34,4.02,1.34,2.68,0,4.02,0,0,0,0,0,0,4.02,0,0,0,4.02,0,0,0,1.34,2.68,26.77,1.34,0,0,10.71,0,0,1.34,0,0,0
3Month,0,0.32,3.2,16.96,0,0,0,0,1.92,1.92,0,0,23.68,0.64,26.24,1.28,3.84,0.64,0.64,1.28,0,0,0.64,0,0,1.6,0,0,0,0.96,10.56,0,0,46.71,0.64
22Month,0,0,2.73,9.29,0.55,0,1.09,0,3.28,3.28,0.55,0,52.48,0,48.65,0,2.73,1.09,6.01,0,1.09,1.09,0,0.55,0,0.55,1.09,11.48,0.55,0.55,8.75,0.55,0.55,0,0.55
