stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,4.02,0,0,0
3Month,0.32,0.96,0.32,1.6,0.64,0,0.32,0,0.64,0,0.32
22Month,0,0,0,3.28,0,0,0,0,1.09,0.55,0
