stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
21Day,1.34,2.68,0,0,0,18.74,0,4.02,2.68,1.34,4.02,0,1.34,34.8
3Month,0.32,0,0.64,0.96,0.64,0,0.32,15.36,0,0,0,3.52,0,9.28
22Month,0,0,0,2.19,0,0,0.55,0,0,0,0,2.73,0,0
