stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,40.86,4.09,0,0,0,0,0,0,0,0,0,4.09,253.36,0,28.6,0,0,0,0,12.26,388.21,0,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,18.19,1.07,6.42,0,0,0,0,0,0,0,0,2.14,348.75,2.14,7.49,0,2.14,1.07,0,23.54,16.05,0,1.07,0,4.28,0,0,1.07,0,1.07,0,0,0
21Day,9.37,1.34,0,192.75,2.68,9.37,0,9.37,0,0,1.34,0,1.34,0,1.34,949.02,4.02,13.39,0,0,4.02,0,9.37,14.72,0,0,0,6.69,4.02,0,1.34,5.35,0,0,0,2.68
3Month,0.32,0.64,1.28,122.22,0,0,0.32,0,1.28,2.88,16.96,3.52,1.6,5.12,1.6,4.48,2.56,4.8,0.96,0,0.96,0.96,0.32,0.32,0.64,0.32,0,0.32,1.28,56.63,0,0,0,70.71,14.72,2.24
22Month,0.55,0.55,0.55,22.96,0.55,0,0.55,0.55,0.55,5.47,44.83,2.19,2.73,3.83,0,1.64,7.65,1.64,0,1.64,1.09,0.55,0,0,1.09,0.55,0.55,0,0,31.71,0,0,0,10.39,0,1.64
