stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,20.43,0,0,0,24.52,0,93.99,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,67.4,5.35,0,3.21,0,0,0,32.09,104.84,33.16,2.14,1.07,2.14,0,0,3.21,0,2.14,0,0,0
21Day,1.34,1.34,52.2,21.42,0,4.02,0,5.35,0,6.69,0,0,9.37,0,4.02,72.28,0,5.35,4.02,4.02,0,0,0,10.71,20.08,16.06,6.69,0,5.35,5.35,1.34,1.34,1.34,1.34,0,0,0
3Month,0,1.92,73.59,148.14,0,0,2.56,0,0.32,229.4,10.24,0,46.71,14.4,0.64,885.94,1.6,9.6,8,8.32,3.84,0.32,243.8,192.29,2.24,0,26.88,0.96,0.32,9.28,63.67,1.92,0,0,3.2,41.27,8.32
22Month,0,2.73,90.74,69.97,0,0,0.55,0,0,140.49,4.37,0.55,67.24,2.73,1.09,1096.59,0.55,1.09,3.83,3.28,0,2.73,157.98,14.76,0,0,22.96,2.19,0.55,2.19,3.83,2.19,0,0,0.55,0,6.56
