stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,2.68,28.11,0,1.34,0,9.37,0,0,1.34,0,0
3Month,0,0.64,0.32,0.32,0.32,0.32,2.24,0.96,0.32,0.32,3.2,0,17.6,0.32,0.96,0.32,0,0,2.56,0,0.64,0.32
22Month,0.55,0.55,0,0,0.55,0.55,7.11,1.09,0,0,0.55,0.55,3.28,0,0,0,0,0.55,0,0,0,0
