stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,4.28,0,0,3.21,0,0,0,0,0,0
21Day,1.34,0,6.69,1.34,0,0,0,0,1.34,0,0,0,0,0,0,5.35,0,0,5.35,6.69,0,1.34,1.34,0,2.68,0,0,0,0
3Month,0,0.32,10.24,0,0.32,0.32,0.64,0,11.2,0.96,0,0.32,0,0.96,0,1.28,0,0.64,0,0,0.64,0.64,0,0.32,7.04,0.32,0.32,0.32,0.96
22Month,0,2.73,3.83,0,0,0,0.55,1.09,77.08,0,0.55,3.83,0.55,1.64,1.64,3.28,2.19,0.55,0,0.55,0,0,0,0,15.85,0,0,0,0.55
