stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,367.78,4687.11,0,845.89,89.9,8.17,0,16.35,0,4.09,0,0,65.38,0,0,0,0,208.41,183.89,220.67,8091.08,0,8.17,0,4.09,8136.03,34763.04,8.17,0,0,1266.79,0,0,12.26,0,0,106.25,0,0,0
72hpf,1213.14,627.97,0,400.1,190.42,419.36,0,20.33,0,0,10.7,0,2.14,2.14,0,22.47,0,471.78,722.11,88.79,3457.56,0,40.65,35.3,10.7,49521.7,9339.28,37.44,251.4,0,4233.16,17.12,0,740.3,25.67,38.51,105.91,0,0,0
21Day,1102.95,215.5,29.45,1278.3,84.33,380.14,0,339.99,0,5.35,14.72,4.02,0,40.16,9.37,750.92,54.88,496.6,408.25,84.33,4596.52,8.03,4.02,124.48,6.69,10049.71,2568.64,25.43,140.55,0,1254.21,416.28,2.68,319.91,52.2,123.15,49.53,6.69,0,216.84
3Month,8,167.33,3.2,567.27,8.96,0,6.08,66.87,7.04,5.44,33.59,1.6,0,56.63,29.76,128.62,19.84,139.18,33.91,39.67,383.94,239,0,9.92,13.12,68.79,20.48,39.35,44.47,0,11.84,10.24,63.03,77.75,0.64,0,5.12,10.88,18.24,426.17
22Month,8.75,295.19,1.09,619.91,7.11,0,5.47,70.52,2.19,3.83,34.44,454.82,0,123,15.31,151.42,16.4,67.24,18.59,60.68,419.28,79.26,8.2,16.95,0.55,97.3,9.84,50.84,119.72,13.12,10.93,5.47,55.21,109.88,4.92,0,1.64,1.09,0,214.84
