stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,16.35,0,0,0,0,4.09,0,0,0,0,4.09,0,24.52,0,0,0,12.26,134.85,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,3.21,1.07,1.07,0,0,0,0,0,0,1.07,0,0,7.49,2.14,0,1.07,49.21,23.54,0,2.14,0,0,0,1.07,0,0
21Day,5.35,1.34,0,8.03,4.02,4.02,0,0,0,2.68,0,0,1.34,5.35,1.34,14.72,0,0,0,16.06,14.72,0,5.35,1.34,0,1.34,2.68,0,0
3Month,0,0,0.32,1.28,0,0,0.96,0,0,0.96,0.32,0.96,0,0.64,0,0,0,0.32,0,0,0,0,0,0,1.92,0,0,0.32,0
22Month,0,0,0,0,0,0,2.19,0.55,0,8.2,0.55,3.83,0,0.55,0.55,2.73,0.55,0,0,0,0,0.55,0,0,1.64,0.55,0,0,1.09
