stage,Hepatocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Retinal_cell,Retinal_cone_cell
24hpf,0,4.09,0,0,0,8.17,0,0,0,0
72hpf,0,0,3.21,0,8.56,3.21,0,5.35,0,1.07
21Day,0,0,2.68,0,1.34,0,0,1.34,1.34,28.11
22Month,2.73,0,0,0.55,0,0,0.55,0,0,0
