stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,4.28,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,5.35,0,0,0,8.03,0,0,0,2.68,0,1.34,14.72,48.19,0,0,0
3Month,0,0.64,4.48,0,0.32,1.28,0,5.12,0.96,0,0.96,0.32,0,0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0.64,8,0,0,0.32,5.76,0.32
22Month,1.09,0,0.55,0,0.55,2.19,1.09,22.96,0,0,2.19,0,1.64,1.09,0,0.55,0,1.09,0,0,0.55,0,0.55,3.28,0.55,0,0,0,0.55
