stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,6.42,2.14,1.07,17.12,11.77,1.07,0,2.14,0,0,4.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,2.68,0,0,1.34,0,1.34,0,1.34,0,0,0,0,4.02,0,0,0,0
3Month,0.64,0,0.96,0,0.32,0.32,0,0,1.92,1.6,0,0.96,0.32,0.32,0,1.28,0,0,0,0,0,0.32,11.52,0,0.32,1.6,1.92
22Month,0,0.55,0,0,0,0,0.55,0,4.92,0,1.09,1.09,0,0,1.64,1.09,0,0,0,2.19,0,0.55,11.48,0,0,0,0
