stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,28.6,0,0,0,0,0,0,0,0,8.17,4.09,69.47,0,0,0,44.95,903.1,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,6.42,1.07,8.56,1.07,0,0,0,0,1.07,0,3.21,10.7,1.07,22.47,1.07,0,1.07,48.14,65.26,0,1.07,0,18.19,0,0,9.63,0,1.07,0,0
21Day,16.06,1.34,24.09,1.34,2.68,2.68,0,1.34,4.02,0,0,6.69,0,37.48,0,5.35,0,18.74,20.08,1.34,0,0,22.76,2.68,0,4.02,2.68,0,0,1.34
3Month,0,0,0.64,0,0,0,0,0.64,0,0,0,0.64,0,0.64,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,1.28,0.32
22Month,0,0,1.64,0,0,0,0.55,4.92,1.09,0.55,0,0,0.55,1.64,0.55,0,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0.55
