stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,16.35,0,0,40.86,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,10.7,8.56,0,0,0,1.07,0,0,0
21Day,0,1.34,0,0,2.68,1.34,2.68,1.34,1.34,1.34,0,1.34,1.34,0,0
3Month,0.32,0,0,0.32,0,0,0,0,0,0,1.6,0,0,1.28,0.32
22Month,0,0,0.55,0,0.55,0,0,0,0.55,0,1.64,0,0,0,0
