stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,1.07,2.14,1.07,0,0,1.07
21Day,2.68,1.34,0,0,0,1.34,0,0,0,0,1.34,0,0
3Month,0,0.32,0,0,0,0.32,0,0,0,0,0,1.6,0
22Month,0,0,0.55,2.73,0,0,0,0,0,0,0,3.28,0
