stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,20.33,1.07,0,4.28,1.07,0,0,0,0,0,0,1.07,0,486.75,158.33,0,1.07,0,0,0,0,34.23,12.84,0,0,0,6.42,0,0,1.07,0,0,0,0,0,0
21Day,13.39,0,0,128.5,14.72,0,0,0,0,6.69,0,5.35,2.68,1104.29,206.13,1.34,28.11,0,0,2.68,0,58.9,4.02,0,0,0,14.72,10.71,0,2.68,1.34,1.34,1.34,0,0,1.34
3Month,0.96,0.96,0.96,31.99,0,0.64,3.84,6.08,0,17.6,5.12,0,13.76,261.4,2.24,5.76,4.8,0.64,0.64,1.6,2.56,0,0,0.32,0.32,0,0,4.48,9.6,0.32,0,0,0,2.88,3.52,1.92
22Month,0,0,0.55,5.47,0,0.55,2.73,4.37,1.64,33.35,1.64,1.09,9.29,71.07,0.55,0.55,2.73,0,1.09,0.55,0,0,0.55,1.64,0,0.55,0,0.55,7.65,0,0.55,0,0,0,0,1.09
