stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,2.14,2.14,1.07,0,2.14,1.07,34.23,6.42,0,1.07,3.21,0,0,1.07,0
21Day,0,2.68,1.34,0,2.68,0,10.71,2.68,0,0,1.34,0,0,0,0
3Month,0,0.32,0,0.64,0,0,0,0,0.32,0,0,0.32,0.96,0,9.6
22Month,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
