stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,1.07,13.91,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,8.03,1.34,0,0,1.34,0,5.35,0,4.02,0,0,0
3Month,0,1.92,22.4,0.96,1.28,0,9.28,0.64,10.24,2.24,1.6,0.96,1.28,0.64,0,0.64,1.28,4.8,1.28,0.64,0,0,0.64,206.37,0.64,0,1.28,10.56,0.96
22Month,3.28,0,11.48,1.64,1.64,2.19,48.65,1.64,26.79,2.73,2.19,3.28,5.47,0,3.83,0.55,0,2.73,3.28,0,93.48,0,0,112.06,2.19,3.83,0,0,1.09
