stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,12.26,122.59,0,0,4.09,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,2.14,1.07,1.07,0,0,0,0,0,0,0,0,0,7.49,2.14,11.77,0,0,0,0,29.95,24.61,0,0,1.07,0,3.21,1.07,0,0,0,0
21Day,0,0,2.68,0,2.68,0,1.34,0,0,0,0,1.34,0,0,2.68,1.34,6.69,0,0,2.68,0,2.68,2.68,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0,0.96,4.16,0,0,0.32,0.32,3.2,0.96,8.64,2.56,0,4.8,0.96,1.92,1.92,2.88,0.96,0,1.28,0.64,0.64,0.32,0,1.28,0,3.84,0,0,0,0.32,1.6,1.6
22Month,0,1.09,1.09,0,0,0,1.09,0.55,0.55,17.49,0,1.09,5.47,0,0,1.09,1.64,0,0.55,0,0,0.55,0,1.09,0,0,2.73,0,0,0,0,0,1.64
