stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,18.19,0,0,0,0,10.7,0,0,0,2.14,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,2.68,1.34,1.34,1.34,0,0,0,2.68,0
3Month,0,3.2,1.6,2.88,0,0.64,0,0.96,0.32,0.96,0.64,51.83,0.32,0,0,0,0.32,0.96,2.56,0.64
22Month,0,0.55,0.55,3.83,0,0.55,0,0,0,0,0,0.55,0,0,0.55,0,0,0,0.55,0.55
