stage,Epithelial_cell,Erythrocyte,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,4.09,8.17,0,0,0
72hpf,0,0,10.7,2.14,0,2.14,2.14
21Day,1.34,1.34,10.71,1.34,1.34,5.35,8.03
