stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,20.43,0,0,0,16.35,200.23,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,1.07,0,5.35,0,0,1.07,181.86,16.05,0,6.42,10.7,0,1.07,18.19,1.07,1.07,2.14,0,0
21Day,2.68,0,5.35,13.39,4.02,9.37,1.34,0,0,0,0,0,2.68,1.34,1.34,5.35,13.39,2.68,34.8,0,2.68,0,143.22,36.14,0,6.69,36.14,4.02,4.02,14.72,0,2.68,0,0,0
3Month,0,0.32,0,5.12,0.32,0,0,0.96,1.28,0,0,6.4,1.28,0,0.96,1.92,0.96,2.88,4.48,0,0.64,0.32,1.28,0,0.32,1.28,0,0.32,26.56,1.92,0,0,0,2.24,1.28
22Month,0,1.09,0.55,1.64,0,0,0,0.55,2.19,2.73,0,36.08,1.64,0.55,3.28,3.83,0,4.37,3.83,2.19,0.55,0,1.64,0,2.19,2.73,0,0,18.59,1.64,0,0,0,0,2.19
