stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,T_cell
21Day,0,2.68,0,0,1.34,0
22Month,0.55,0.55,3.28,0.55,0,0.55
