stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,61.3,85.81,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,1.07,0,0,6.42,0,5.35,0,437.54,14.98,1.07,1.07,3.21,0,0,1.07,0,1.07,0,0
21Day,1.34,2.68,1.34,1.34,0,0,0,0,0,1.34,2.68,0,92.36,2.68,0,0,1.34,1.34,2.68,2.68,1.34,0,0,0
3Month,0,0.64,0,0,0.32,0,0,0.32,0,0,0,0.32,0,0,6.4,0.32,0,0,1.28,0,0,0,0.32,0.32
22Month,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,1.64,0,0,0,13.67,0,0,0,0,0
