stage,Cardiomyocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,4.09,0,0,8.17,0,0
72hpf,0,0,0,0,0,0,1.07,4.28,2.14,0,0
21Day,0,0,0,2.68,0,0,0,0,0,1.34,1.34
3Month,0.64,0.32,0,0,0.32,0,0,0,0,0,0
22Month,0,0,1.09,0,0,0,0.55,0,0,0,0
