stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,18.74,1.34,0,0,0,0,0,0,10.71,0,0,5.35,2.68,1.34,0,0,1.34,1.34,0,0,0,0,0,5.35
3Month,0,24.64,0,0.64,0.32,0.32,0,5.44,0.32,1.28,3.2,0.32,4.16,1.28,0.64,0.64,0,0,0,0.32,0,0.32,0.32,0.32,6.4
22Month,1.09,7.11,0,0.55,0.55,2.73,0.55,31.16,1.09,1.64,3.28,0,0.55,1.64,1.09,0,0.55,0,0,0,0.55,0.55,0,0.55,0
