stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Primordial_germ_cell
21Day,0,1.34,0,0,0,0,0,0,0
3Month,0.64,1.6,1.6,0.32,0.96,0.96,0,28.16,0.64
22Month,0,0,0,4.37,1.64,0.55,0.55,2.73,4.37
