stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,32.69,0,0,0,0,69.47,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,57.77,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,3.21,1.07,0,11.77,0,0,1.07,0,55.63,5.35,0,0,0,4.28,0,0,1.07,0,0,1.07,0,0,0
21Day,54.88,1.34,0,1.34,1.34,1.34,0,0,1.34,0,0,0,0,0,0,1.34,0,4.02,0,0,1.34,0,12.05,0,0,0,0,1.34,0,0,1.34,6.69,33.46,0,0,0,0
3Month,42.55,1.28,0.32,28.16,0,0,0.32,0.32,4.16,2.56,0,6.72,0.64,1.6,0,12.8,9.6,18.24,4.16,0,0.32,0.96,0,0.64,0.96,0.32,0,0,0.96,43.51,0.32,0,0,1.28,0.32,6.4,0.96
22Month,47.01,6.56,0,10.39,0,0,0,0,3.28,2.73,6.56,35.53,1.64,6.56,0,4.37,4.37,31.16,0,1.64,1.64,0,0,0,0,0,2.73,0,0,34.99,0,0.55,0,0,0,0,0.55
