stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,5.35,0,6.42,0,0,0,0,0,0,0,0,0,6.42,1.07,6.42,0,0,0,806.62,34.23,2.14,0,0,10.7,0,0,8.56,24.61,2.14,2.14,0,0
21Day,2.68,1.34,0,29.45,2.68,16.06,1.34,0,0,0,2.68,0,5.35,0,2.68,4.02,0,18.74,0,2.68,0,394.87,8.03,0,5.35,0,5.35,2.68,2.68,6.69,9.37,1.34,0,0,0
3Month,0,0.32,0.32,8.96,0.64,0,0,2.56,1.6,0,11.52,0.96,0.32,1.92,0.64,1.92,1.28,8.64,0.32,1.28,15.04,29.44,0.64,13.76,0,0,1.28,0.96,4.8,1.92,0,0,0,10.56,0.64
22Month,0,1.09,1.09,4.92,0,0,0,1.64,2.73,1.09,36.08,1.09,0.55,5.47,0,1.09,2.73,7.11,1.09,0.55,0,28.43,0,6.01,0.55,0.55,0,0.55,6.56,1.64,0.55,0,0,0,0.55
