stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,118.51,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,0,11.77,5.35,0,0,0,0,1.07,0,0
21Day,0,1.34,0,0,0,0,1.34,0,0,1.34,12.05,22.76,0,0,4.02,0,1.34,0,0
3Month,0.32,0.32,0.32,0.32,1.6,0.64,0,0.32,0.32,0,0,0.32,0,0.32,0,0.64,0,1.6,0.32
22Month,0,0,0,1.09,3.28,1.09,0,0,0,0,0,0,0.55,0,0,0.55,0,0,0
