stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,37.44,4.28,0,1.07,0,0,0,0,0
21Day,2.68,0,0,2.68,2.68,0,1.34,0,0,1.34,0,0,0,0,0,0,5.35,1.34,9.37,0,0,18.74,1.34,0,1.34,1.34,0,1.34,0,5.35
3Month,0,0.64,0,7.36,0,0,0,0.32,1.92,2.88,0,3.52,1.92,0.64,4.8,0.64,0.64,3.2,0.64,0,0.64,0,0,0,0,0.32,1.28,0,0.96,4.48
22Month,0.55,4.37,0.55,5.47,0,0.55,0,0,0,2.73,0.55,21.32,2.19,1.09,18.59,0.55,1.09,2.73,11.48,0.55,0,0,0,1.64,0,0,4.37,0,0,0.55
